steps,rewards,times
0,-50.0,2023-05-06 13:45:45.108281
45000,-50.0,2023-05-06 14:29:33.557280
90000,-50.0,2023-05-06 15:16:52.193281
135000,-50.0,2023-05-06 16:04:23.525780
180000,-45.0,2023-05-06 16:52:41.153281
225000,-49.6,2023-05-06 17:40:54.333282
270000,-45.0,2023-05-06 18:29:49.378280
315000,-44.2,2023-05-06 19:19:49.892780
360000,-45.7,2023-05-06 21:37:07.242780
405000,-26.7,2023-05-06 22:30:41.646280
450000,-48.2,2023-05-06 23:24:12.703779
495000,-40.7,2023-05-07 00:15:18.696780
540000,-36.5,2023-05-07 01:07:09.227779
585000,-32.3,2023-05-07 01:59:17.148779
630000,-31.7,2023-05-07 02:51:46.245779
675000,-45.2,2023-05-07 03:44:49.504780
720000,-41.4,2023-05-07 04:38:31.450280
765000,-35.3,2023-05-07 05:32:49.069283
810000,-22.1,2023-05-07 06:27:14.075779
855000,-33.1,2023-05-07 07:22:08.255783
900000,-41.5,2023-05-07 08:17:25.113779
945000,-41.6,2023-05-07 09:13:22.429780
990000,-46.0,2023-05-07 10:08:52.188280
1035000,-45.0,2023-05-07 11:06:23.342280
1080000,-37.5,2023-05-07 12:04:51.685782
1125000,-44.0,2023-05-07 13:03:30.174281
1170000,-44.6,2023-05-07 14:01:42.000781
1215000,-31.8,2023-05-07 15:01:18.625281
1260000,-41.6,2023-05-07 16:00:36.021779
1305000,-32.6,2023-05-07 16:57:34.631281
1350000,-45.8,2023-05-07 17:54:27.329783
1395000,-30.3,2023-05-07 18:52:51.607280
1440000,-50.0,2023-05-07 19:53:10.549282
0,-50.0,2023-05-07 22:08:07.263354
45000,-45.0,2023-05-07 23:29:48.645354
90000,-47.0,2023-05-08 00:41:55.749352
135000,-40.8,2023-05-08 01:29:13.753352
180000,-45.6,2023-05-08 02:17:01.832853
225000,-36.1,2023-05-08 03:04:51.391850
270000,-49.7,2023-05-08 03:53:09.046850
315000,-50.0,2023-05-08 04:41:55.428284
360000,-37.7,2023-05-08 05:31:11.708287
