steps,rewards,times
0,-50.0,2023-05-08 22:44:40.567220
45000,-45.0,2023-05-08 23:37:35.168009
90000,-50.0,2023-05-09 00:36:51.937385
135000,-45.5,2023-05-09 01:36:26.859037
180000,-33.0,2023-05-09 02:36:33.446433
225000,-36.8,2023-05-09 03:37:06.641060
270000,-42.4,2023-05-09 04:38:03.541237
315000,-47.8,2023-05-09 05:39:23.898461
360000,-39.8,2023-05-09 06:41:05.817029
405000,-50.0,2023-05-09 07:43:12.103588
450000,-38.3,2023-05-09 08:45:40.730098
495000,-50.0,2023-05-09 09:48:30.164170
540000,-30.2,2023-05-09 10:51:37.428141
585000,-44.7,2023-05-09 11:54:49.755381
630000,-50.0,2023-05-09 12:58:18.054398
675000,-35.6,2023-05-09 14:02:12.417246
720000,-42.2,2023-05-09 15:06:23.858750
765000,-45.6,2023-05-09 16:10:53.900272
810000,-21.0,2023-05-09 17:15:45.397810
855000,-49.7,2023-05-09 18:21:02.001925
900000,-31.2,2023-05-09 19:26:39.915086
945000,-29.2,2023-05-09 20:32:36.447876
990000,-45.4,2023-05-09 21:38:50.450721
1035000,-45.8,2023-05-09 22:46:22.529657
1080000,-39.6,2023-05-09 23:54:11.775951
1125000,-40.6,2023-05-10 01:02:01.541124
1170000,-27.6,2023-05-10 02:09:55.914249
1215000,-37.1,2023-05-10 03:17:51.441754
1260000,-50.0,2023-05-10 04:25:47.309089
1305000,-40.0,2023-05-10 05:33:43.117804
1350000,-49.5,2023-05-10 06:41:39.369110
1395000,-49.6,2023-05-10 07:49:37.055122
1440000,-49.8,2023-05-10 08:57:29.902568
1485000,-45.0,2023-05-10 10:05:22.151775
1530000,-29.1,2023-05-10 11:13:12.161620
1575000,-36.3,2023-05-10 12:21:57.628412
1620000,-41.2,2023-05-10 13:32:11.712367
1665000,-50.0,2023-05-10 14:42:16.014389
1710000,-46.3,2023-05-10 15:52:12.046538
1755000,-41.2,2023-05-10 17:00:06.413103
1800000,-36.2,2023-05-10 18:08:03.300917
