steps,rewards,times
0,-47.4,2023-05-08 16:16:45.226786
50000,-50.0,2023-05-08 16:16:47.934784
100000,-50.0,2023-05-08 16:16:50.530785
150000,-48.8,2023-05-08 16:16:53.152787
200000,-50.0,2023-05-08 16:16:55.902285
250000,-50.0,2023-05-08 16:16:58.363787
300000,-50.0,2023-05-08 16:17:00.926785
350000,-50.0,2023-05-08 16:17:03.404785
400000,-50.0,2023-05-08 16:17:06.000785
450000,-50.0,2023-05-08 16:17:08.556784
500000,-50.0,2023-05-08 16:17:11.190785
550000,-48.7,2023-05-08 16:17:13.630283
600000,-50.0,2023-05-08 16:17:16.114288
650000,-50.0,2023-05-08 16:17:18.615284
700000,-49.3,2023-05-08 16:17:21.251285
750000,-49.4,2023-05-08 16:17:23.747285
800000,-50.0,2023-05-08 16:17:26.395784
850000,-50.0,2023-05-08 16:17:28.950786
900000,-50.0,2023-05-08 16:17:31.747784
950000,-49.8,2023-05-08 16:17:34.380784
1000000,-49.9,2023-05-08 16:17:37.002785
1050000,-49.9,2023-05-08 16:17:39.779287
1100000,-49.5,2023-05-08 16:17:42.314784
1150000,-50.0,2023-05-08 16:17:44.959287
1200000,-47.5,2023-05-08 16:17:47.601788
1250000,-49.7,2023-05-08 16:17:50.527285
1300000,-50.0,2023-05-08 16:17:53.252787
1350000,-50.0,2023-05-08 16:17:55.918284
1400000,-49.1,2023-05-08 16:17:58.695284
1450000,-49.2,2023-05-08 16:18:01.522285
1500000,-49.8,2023-05-08 16:18:04.143784
1550000,-49.8,2023-05-08 16:18:07.315287
1600000,-49.9,2023-05-08 16:18:10.187784
1650000,-49.4,2023-05-08 16:18:13.042287
1700000,-50.0,2023-05-08 16:18:15.664286
1750000,-49.6,2023-05-08 16:18:18.200784
1800000,-49.9,2023-05-08 16:18:21.248287
1850000,-50.0,2023-05-08 16:18:23.954787
1900000,-50.0,2023-05-08 16:18:26.571785
1950000,-50.0,2023-05-08 16:18:29.336284
2000000,-50.0,2023-05-08 16:18:32.035788
2050000,-49.8,2023-05-08 16:18:34.809785
2100000,-49.6,2023-05-08 16:18:37.485784
2150000,-50.0,2023-05-08 16:18:40.139786
2200000,-49.8,2023-05-08 16:18:42.947784
2250000,-49.9,2023-05-08 16:18:45.675785
2300000,-49.9,2023-05-08 16:18:48.392787
2350000,-49.9,2023-05-08 16:18:50.992786
2400000,-50.0,2023-05-08 16:18:53.844285
2450000,-50.0,2023-05-08 16:18:56.479787
2500000,-50.0,2023-05-08 16:18:59.177285
2550000,-48.4,2023-05-08 16:19:01.708784
2600000,-49.9,2023-05-08 16:19:04.396285
2650000,-49.9,2023-05-08 16:19:06.936285
2700000,-50.0,2023-05-08 16:19:09.665284
2750000,-49.8,2023-05-08 16:19:12.494284
2800000,-49.8,2023-05-08 16:19:15.275284
2850000,-50.0,2023-05-08 16:19:17.869786
2900000,-49.0,2023-05-08 16:19:20.589785
2950000,-50.0,2023-05-08 16:19:23.396784
3000000,-48.9,2023-05-08 16:19:26.098292
3050000,-50.0,2023-05-08 16:19:28.785784
3100000,-49.9,2023-05-08 16:19:31.613284
3150000,-50.0,2023-05-08 16:19:34.406288
3200000,-50.0,2023-05-08 16:19:37.170289
3250000,-49.9,2023-05-08 16:19:39.707286
3300000,-49.1,2023-05-08 16:19:42.317285
3350000,-50.0,2023-05-08 16:19:44.941784
3400000,-50.0,2023-05-08 16:19:47.610785
3450000,-50.0,2023-05-08 16:19:50.175284
3500000,-50.0,2023-05-08 16:19:52.913286
3550000,-50.0,2023-05-08 16:19:55.630285
3600000,-50.0,2023-05-08 16:19:58.294784
3650000,-49.0,2023-05-08 16:20:01.098784
3700000,-50.0,2023-05-08 16:20:03.975785
3750000,-50.0,2023-05-08 16:20:06.556784
3800000,-49.5,2023-05-08 16:20:09.287784
3850000,-49.3,2023-05-08 16:20:11.976284
3900000,-50.0,2023-05-08 16:20:14.801286
3950000,-49.2,2023-05-08 16:20:17.632284
4000000,-49.8,2023-05-08 16:20:20.502785
4050000,-48.9,2023-05-08 16:20:23.387786
4100000,-48.5,2023-05-08 16:20:26.432785
4150000,-46.4,2023-05-08 16:20:29.199784
4200000,-49.7,2023-05-08 16:20:32.002785
4250000,-49.9,2023-05-08 16:20:34.960785
4300000,-49.1,2023-05-08 16:20:37.795784
4350000,-48.5,2023-05-08 16:20:40.649284
4400000,-50.0,2023-05-08 16:20:43.330784
4450000,-50.0,2023-05-08 16:20:46.258286
4500000,-50.0,2023-05-08 16:20:49.296785
4550000,-47.3,2023-05-08 16:20:52.152785
4600000,-50.0,2023-05-08 16:20:55.236288
4650000,-50.0,2023-05-08 16:20:58.131285
4700000,-48.6,2023-05-08 16:21:01.120784
4750000,-50.0,2023-05-08 16:21:03.956285
4800000,-50.0,2023-05-08 16:21:06.858784
4850000,-49.8,2023-05-08 16:21:09.730785
4900000,-50.0,2023-05-08 16:21:12.565785
4950000,-50.0,2023-05-08 16:21:15.491785
5000000,-50.0,2023-05-08 16:21:18.490785
5050000,-50.0,2023-05-08 16:21:21.285785
5100000,-50.0,2023-05-08 16:21:24.185285
5150000,-50.0,2023-05-08 16:21:27.045284
5200000,-49.9,2023-05-08 16:21:29.911286
5250000,-49.9,2023-05-08 16:21:32.720786
5300000,-50.0,2023-05-08 16:21:35.621288
5350000,-50.0,2023-05-08 16:21:38.556284
5400000,-50.0,2023-05-08 16:21:41.478285
5450000,-50.0,2023-05-08 16:21:44.229786
5500000,-50.0,2023-05-08 16:21:47.300285
5550000,-50.0,2023-05-08 16:21:50.054284
5600000,-49.9,2023-05-08 16:21:52.824285
5650000,-50.0,2023-05-08 16:21:55.652286
5700000,-50.0,2023-05-08 16:21:58.498284
5750000,-50.0,2023-05-08 16:22:01.313784
5800000,-50.0,2023-05-08 16:22:04.081787
5850000,-50.0,2023-05-08 16:22:06.950284
5900000,-49.7,2023-05-08 16:22:09.786784
5950000,-49.9,2023-05-08 16:22:12.711785
6000000,-50.0,2023-05-08 16:22:15.587285
6050000,-48.1,2023-05-08 16:22:18.542786
6100000,-49.9,2023-05-08 16:22:21.423284
6150000,-48.5,2023-05-08 16:22:24.575285
6200000,-48.6,2023-05-08 16:22:27.486784
6250000,-49.8,2023-05-08 16:22:30.258784
6300000,-50.0,2023-05-08 16:22:33.128284
6350000,-49.7,2023-05-08 16:22:35.771784
6400000,-48.0,2023-05-08 16:22:38.570284
6450000,-49.8,2023-05-08 16:22:41.492287
6500000,-50.0,2023-05-08 16:22:44.161284
6550000,-49.8,2023-05-08 16:22:46.957784
6600000,-50.0,2023-05-08 16:22:49.967284
