steps,rewards,times
0,-50.0,2023-05-10 18:16:31.536064
45000,-50.0,2023-05-10 19:03:23.072566
90000,-50.0,2023-05-10 19:55:28.258064
135000,-45.0,2023-05-10 20:47:49.139565
180000,-50.0,2023-05-10 21:49:49.279564
225000,-50.0,2023-05-10 22:52:07.977564
270000,-40.0,2023-05-10 23:44:04.999066
315000,-50.0,2023-05-11 00:36:20.635563
360000,-50.0,2023-05-11 01:28:55.903066
405000,-44.8,2023-05-11 02:21:11.164564
450000,-50.0,2023-05-11 03:13:26.884066
495000,-47.9,2023-05-11 04:05:56.752064
540000,-35.5,2023-05-11 04:58:05.132066
585000,-50.0,2023-05-11 05:50:38.640064
630000,-45.0,2023-05-11 06:43:48.329563
675000,-40.0,2023-05-11 07:37:12.994065
720000,-50.0,2023-05-11 08:31:31.829564
765000,-49.9,2023-05-11 09:25:46.879564
810000,-50.0,2023-05-11 10:20:35.597063
855000,-43.9,2023-05-11 11:15:50.185566
900000,-40.0,2023-05-11 12:11:35.965564
945000,-45.0,2023-05-11 13:09:46.359564
990000,-45.3,2023-05-11 14:09:28.512065
1035000,-30.0,2023-05-11 15:14:35.629064
1080000,-48.6,2023-05-11 16:14:19.683064
1125000,-44.0,2023-05-11 17:13:26.068563
1170000,-45.0,2023-05-11 18:13:32.455563
1215000,-41.2,2023-05-11 19:13:27.657067
1260000,-30.0,2023-05-11 20:14:31.152564
1305000,-45.8,2023-05-11 21:15:59.225565
1350000,-44.0,2023-05-11 22:17:02.724065
1395000,-45.0,2023-05-11 23:40:20.791564
1440000,-35.0,2023-05-12 00:58:05.291271
1485000,-50.0,2023-05-12 01:42:20.443773
1530000,-50.0,2023-05-12 02:31:07.749774
1575000,-40.0,2023-05-12 03:21:36.248265
1620000,-40.0,2023-05-12 04:11:34.235766
1665000,-43.2,2023-05-12 05:01:53.807766
1710000,-50.0,2023-05-12 05:52:15.652266
1755000,-50.0,2023-05-12 06:43:36.798265
1800000,-34.6,2023-05-12 07:34:42.577266
